"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ABHD17A",3035.88915665554,0.0690277067717333,0.118317550251171,0.583410547507091,0.559616959088704,0.93907365659406
"ABHD17B",725.571894643078,-0.0635356863460902,0.160026887396023,-0.397031320048466,0.691344364678184,0.957695722636452
"ABHD17C",1286.97992523027,-1.57367962506892,0.529888374503218,-2.96983232844894,0.00297962331430199,0.215547772160379
"ABHD18",1284.68489643402,0.337868700500737,0.182028883594143,1.85612686200976,0.0634354777576765,0.644138534370598
"ABHD2",7285.58623173024,0.0139646691070736,0.330375104077031,0.0422691326759826,0.966284151841023,1
"ABHD3",572.799992491881,-0.346435394001345,0.273825409069312,-1.26516890882706,0.205810785199902,0.822233102461367
"ABHD4",1900.70140925846,-0.284692061648759,0.144058176782447,-1.97622979831747,0.0481287564174596,0.620431844092834
"ABHD5",1637.28086318045,-0.439844847057906,0.398374515368151,-1.10409885695482,0.269550257069445,0.867258308393804
"ABHD6",404.058480374814,-0.012816419545744,0.275989902583806,-0.0464380016288901,0.96296114825049,1
"ABHD8",1075.94284228186,-0.0346840136391923,0.181314347044434,-0.191292163055869,0.848296700696511,0.989709355851708
"ABI1",2994.56261469406,-0.0825547705068886,0.147994089113237,-0.557824782067626,0.576964038386877,0.942891386091461
"ABI2",16473.5520687768,0.105079438253408,0.127458094369774,0.82442342146241,0.409699011268062,0.914367853696915
"ABI3",12.3730544852805,1.35295525692373,1.16006961761471,1.16627074477273,0.24350499749607,0.851034554540062
"ABI3BP",245.339493655666,-0.882713008327536,0.594751452318926,-1.48417125319468,0.137763494042336,0.77431878089411
"ABL1",31637.0298085921,-0.017102947748414,0.123528140180499,-0.138453859366969,0.889881733223015,0.991099767401595
"ABL2",7506.60048924801,-0.149391697037317,0.249642284804878,-0.598423048219103,0.549557690676191,0.936822530672095
"ABLIM1",121.237643501493,-0.540096895196852,1.96474038362918,-0.274894790017605,0.783397069973429,0.976410398748184
"ABLIM2",44.4918336797113,-1.35184472929786,1.19950423329748,-1.12700288316748,0.25974126198335,0.862358997955284
"ABLIM3",8640.19044232439,-0.680912952986972,0.529868985803085,-1.28505908296361,0.198771638459452,0.820955114116002
"ABO",0.0646559684209221,0,4.32804458550702,0,1,NA
"ABR",15206.6895839148,-0.0258349001556748,0.201165030972764,-0.128426397126509,0.897811542238211,0.99392849563741
"ABRA",0.114484339478031,0,4.32804458550702,0,1,NA
"ABRACL",91.4490034449002,-0.112748784149763,0.439756648333314,-0.256389038294437,0.797650451226729,0.980213887535297
"ABRAXAS1",629.259407180986,0.187494664579596,0.162909144355421,1.15091553222167,0.249766987186011,0.857875639537648
"ABRAXAS2",676.427531551461,0.109463303085286,0.159168768221634,0.687718478369223,0.491630081288629,0.927706649607892
"ABT1",574.105674233974,-0.0670793246358096,0.193036518911042,-0.347495515430021,0.728219087026873,0.967881690924837
"ABTB1",928.280343912083,0.0292074356334951,0.215174708123591,0.135738237491737,0.89202821831076,0.992209282279484
"ABTB2",1159.81006777718,-0.534460148271925,0.505831919115843,-1.05659632789904,0.290695857121837,0.869432805658882
"ACAA1",1388.85818588912,-0.193093002317985,0.149814111758314,-1.28888393791294,0.197438438872167,0.820062621600867
"ACAA2",2222.96855331863,-0.0842030240530446,0.168387507880099,-0.500055052260774,0.617036314001143,0.949143361837332
"ACACA",9247.46565610646,0.154578057106413,0.227077721743339,0.68072753205235,0.49604391190317,0.927706649607892
"ACACB",567.778916689662,-0.578401542858883,0.2575802821538,-2.24551948628398,0.0247348027124047,0.513638321431821
